gene_name,log2FoldChange,neg_log_q
MID1IP1-AS1,-1.462728511,1.51454924
SIX2,-1.477400002,2.646306645
HIF3A,-1.485164356,1.567037664
PAPSS2,-1.517499289,2.752377255
SLC1A1,-1.523919953,2.338756623
ANO4,-1.531483315,2.208728482
CORIN,-1.545061269,7.080921908
TSPAN5,-1.553567206,1.497150086
SLC35F1,-1.561899088,2.191859547
DPT,-1.566516126,1.522414472
SLITRK4,-1.570283678,4.691263823
CLIC6,-1.585128145,3.710321879
ILDR1,-1.585843389,1.542363572
RP3-400B16.1,-1.664574882,1.640433294
CPAMD8,-1.680744186,4.537602002
CTD-2033A16.1,-1.701801343,1.545421513
NQO1,-1.716243533,1.477203909
AVPR1A,-1.716584559,2.210164849
ACOT4,-1.731853187,3.412400148
MS4A14,-1.83884864,1.902868588
CNR1,-1.923975926,1.863524672
HOXB8,-1.948093527,1.304668216
DMRTA1,-1.969851786,1.882969291
CTD-2334D19.1,-1.996502882,2.017905823
SERPINC1,-2.013107115,1.620697456
SNX10,-2.031493815,2.241376699
RP11-457I16.3,-2.06674163,1.481826364
IRX3,-2.085027287,6.694648631
CADPS,-2.131892238,7.661543506
CNTNAP4,-2.156616439,3.071185931
CECR2,-2.180875934,3.370578167
CDH20,-2.192583819,1.396557572
RP11-767I20.1,-2.196462367,4.2915791
RP11-74C13.3,-2.208639741,1.419020188
SLC36A2,-2.236076655,1.346121577
GREB1L,-2.243725479,1.743698087
AC004540.4,-2.309056964,1.362835993
IP6K3,-2.313150592,1.484780739
LINC00485,-2.421053059,3.631874959
TRHDE,-2.423067747,2.602782911
LMO3,-2.443899032,1.56796556
CUX2,-2.478426009,13.55284197
RP11-372M18.2,-2.532405504,9.003488328
MMP3,-2.554630973,5.432973634
SGCZ,-2.571254204,1.673100762
SPATA3,-2.581127112,1.418610498
AADAC,-2.596896875,1.373280258
GALNT13,-2.606223043,3.075387882
LL22NC03-104C7.1,-2.612788786,2.772967047
GSG1,-2.613130859,1.573594902
RP11-439K3.1,-2.678886109,1.452208858
ACADL,-2.781158099,5.663540266
RP11-545A16.4,-2.789037704,2.616125057
RXFP2,-2.815923797,2.296153682
RP11-525K10.3,-2.955638357,1.677835326
RP11-92A5.2,-3.085472501,2.616125057
NPY2R,-3.088992873,2.149956314
FAM123A,-3.578957925,10.01322827
RP11-248N22.1,-3.642502753,1.903392396
LINC00266-4P,-3.837231709,2.665364728
PCDH11Y,-4.100954496,5.546080025
AC010084.1,-4.363280281,7.017502631
AC006157.2,-4.430660583,2.079666102
RP11-165I9.4,-4.699259416,2.287996244
BCORP1,-4.800615048,2.094188744
LINC00230A,-5.199433108,4.832682665
GYG2P1,-5.754216345,7.107836754
GS1-39E22.2,-5.824223735,1.448479569
TSPY2,-5.839991882,4.806875402
TRH,-5.913758098,3.22114793
TBL1Y,-6.313428157,5.557441846
ZFY-AS1,-6.44334876,5.47218603
TTTY10,-6.58560544,7.348721986
AC007379.5,-6.948683284,6.795813771
LINC00278,-7.12330121,10.10053843
NLGN4Y,-7.464699838,31.26336427
DAZ2,-7.6508141,7.109020403
CYorf15B,-7.703105598,24.64461234
RP11-424G14.1,-7.765490958,14.63827216
TMSB4Y,-7.797471716,22.10423972
USP9Y,-7.803568277,22.50322406
TTTY14,-7.846221526,6.582251598
ZFY,-8.045566216,25.7928745
EIF1AY,-8.046842031,31.96301643
TTTY15,-8.057610858,26.09690615
UTY,-8.318275336,32.44035766
CYorf15A,-8.318651319,30.14694431
DDX3Y,-8.356559272,33.89848204
RPS4Y1,-8.443370894,34.61181881
KDM5D,-8.48081876,36.80285716
SRY,-8.588489755,144.5718652
